epoch,accuracy,loss,val_accuracy,val_loss
0,0.30977582931518555,1.6628519296646118,0.5152616500854492,1.3486288785934448
1,0.6120796799659729,0.9972364902496338,0.6468023061752319,0.830507755279541
2,0.6933375000953674,0.7436137795448303,0.711482584476471,0.6589980721473694
3,0.7174657583236694,0.6637064814567566,0.7696220874786377,0.5797355771064758
4,0.7386363744735718,0.614293098449707,0.7587209343910217,0.5484489798545837
5,0.75389164686203,0.5849626064300537,0.8030523061752319,0.48301559686660767
6,0.7689912915229797,0.5504608154296875,0.7314680218696594,0.6563923954963684
7,0.7854918837547302,0.5153876543045044,0.770348846912384,0.5176766514778137
8,0.7868928909301758,0.5028242468833923,0.8168604373931885,0.45227569341659546
9,0.7988792061805725,0.4690275490283966,0.8045058250427246,0.4510865807533264
