epoch,accuracy,loss,val_accuracy,val_loss
0,0.3186488151550293,1.639399766921997,0.5585029125213623,1.361042857170105
1,0.584526777267456,1.0782302618026733,0.7034883499145508,0.7668734788894653
2,0.7028331160545349,0.724991500377655,0.7347383499145508,0.5911903381347656
3,0.7322540283203125,0.6310862898826599,0.8030523061752319,0.4967443645000458
4,0.7596513032913208,0.5747491121292114,0.789607584476471,0.4993969202041626
5,0.7769302725791931,0.511629045009613,0.8081395626068115,0.4477396309375763
6,0.7833125591278076,0.5055446028709412,0.7972383499145508,0.45570239424705505
7,0.8015255331993103,0.45705610513687134,0.8404796719551086,0.39000844955444336
8,0.809620201587677,0.44675499200820923,0.8339389562606812,0.4119608700275421
9,0.8174034953117371,0.4300634264945984,0.832848846912384,0.39644530415534973
