epoch,accuracy,loss,val_accuracy,val_loss
0,0.3429327607154846,1.574203372001648,0.5279796719551086,1.1406381130218506
1,0.6478829383850098,0.8417079448699951,0.6965842843055725,0.6898214221000671
2,0.685398519039154,0.7184582948684692,0.6813226938247681,0.6903240084648132
3,0.7050124406814575,0.6715114712715149,0.6962209343910217,0.6326844692230225
4,0.7252490520477295,0.6281863451004028,0.710392415523529,0.6023033261299133
5,0.732876718044281,0.5883023738861084,0.7245639562606812,0.5827820301055908
6,0.7423723340034485,0.5699623227119446,0.7430959343910217,0.5224767923355103
7,0.7386363744735718,0.5751676559448242,0.645348846912384,0.7521677017211914
8,0.7540473341941833,0.539788007736206,0.7605378031730652,0.5015915632247925
9,0.7697696089744568,0.5262374877929688,0.7696220874786377,0.4989170730113983
10,0.7713263034820557,0.5087767243385315,0.7979651093482971,0.4298596978187561
11,0.7758405804634094,0.48913073539733887,0.7830668687820435,0.4595429301261902
12,0.7770859003067017,0.4957948923110962,0.7954215407371521,0.43587547540664673
13,0.7859588861465454,0.48420464992523193,0.772892415523529,0.5327133536338806
