epoch,accuracy,loss,val_accuracy,val_loss
0,0.29125157,1.670796633,0.454941869,1.305535793
1,0.607565403,0.908288836,0.662063956,0.734443724
2,0.667029917,0.742968857,0.670421541,0.738589644
3,0.696295142,0.672287524,0.691860437,0.64571625
4,0.703144431,0.649113894,0.709302306,0.59229368
5,0.720734715,0.60448581,0.714026153,0.637866914
6,0.728362381,0.589994848,0.691860437,0.78294158
7,0.727117062,0.601090848,0.680232584,0.588953435
8,0.733810723,0.572095037,0.743459284,0.54667151
9,0.744863033,0.553564608,0.75,0.552537143
10,0.74813199,0.534147859,0.773982584,0.530016303
11,0.756226659,0.532051682,0.707485437,0.637039483
12,0.754669964,0.521478176,0.756904066,0.490357518
13,0.765566647,0.515057147,0.732558131,0.537709236
14,0.775529265,0.489765257,0.773255825,0.455976933
15,0.77584058,0.48642087,0.699854672,0.600474
16,0.77770859,0.491811305,0.708212197,0.671002507
17,0.772104621,0.498841107,0.789970934,0.445923775
18,0.790940225,0.464855045,0.751453459,0.543044806
19,0.796544194,0.449783385,0.818313956,0.413866013
20,0.792185545,0.466672271,0.800145328,0.439138234
21,0.797166884,0.451267451,0.742005825,0.592198372
22,0.807752192,0.438597143,0.746729672,0.541847944
