epoch,accuracy,loss,val_accuracy,val_loss
0,0.26914694905281067,1.7059314250946045,0.2605378031730652,1.696856141090393
1,0.4811643958091736,1.3028844594955444,0.6420784592628479,0.8188151717185974
2,0.6715441942214966,0.7823688387870789,0.7376453280448914,0.6203480362892151
3,0.7059464454650879,0.6782118082046509,0.7718023061752319,0.546857476234436
4,0.7350560426712036,0.6000797748565674,0.7601743936538696,0.5754624009132385
5,0.7503113150596619,0.5827932953834534,0.7852470874786377,0.4709993898868561
6,0.7657222747802734,0.5386837720870972,0.7816133499145508,0.5225005745887756
7,0.7817559242248535,0.4987562894821167,0.817223846912384,0.4134483337402344
8,0.7921855449676514,0.47618913650512695,0.8168604373931885,0.46901729702949524
9,0.811488151550293,0.43262535333633423,0.8513808250427246,0.374785453081131
