epoch,accuracy,loss,val_accuracy,val_loss
0,0.3217621445655823,1.6242996454238892,0.4894621968269348,1.1632297039031982
1,0.6396326422691345,0.8503983616828918,0.6904069781303406,0.7052860856056213
2,0.6980074644088745,0.6918376684188843,0.7107558250427246,0.6618406772613525
3,0.7143524289131165,0.6355483531951904,0.7474563717842102,0.5748642086982727
4,0.7236924171447754,0.6171905994415283,0.727107584476471,0.617179274559021
5,0.7339663505554199,0.5860568284988403,0.7467296719551086,0.5363696217536926
6,0.7428393363952637,0.5743303894996643,0.7616279125213623,0.5392857193946838
7,0.7369240522384644,0.5795764923095703,0.7463662624359131,0.5393776893615723
8,0.7490659952163696,0.5464335083961487,0.7845203280448914,0.5029275417327881
9,0.7630759477615356,0.5297842025756836,0.785973846912384,0.4866248667240143
10,0.7668119668960571,0.5128525495529175,0.8055959343910217,0.4523117244243622
11,0.7722602486610413,0.4952334761619568,0.7892441749572754,0.4753051698207855
12,0.780354917049408,0.49109259247779846,0.7757993936538696,0.475016713142395
13,0.7830012440681458,0.4791426360607147,0.8070493936538696,0.4231780171394348
14,0.7875155806541443,0.47641539573669434,0.7797965407371521,0.449215292930603
15,0.7758405804634094,0.49766281247138977,0.7946947813034058,0.4458228349685669
16,0.7867372632026672,0.4662279784679413,0.792151153087616,0.4522766172885895
