epoch,accuracy,loss,val_accuracy,val_loss
0,0.31615814566612244,1.6460505723953247,0.4727470874786377,1.3249731063842773
1,0.5815691351890564,1.0744718313217163,0.7351017594337463,0.7137163281440735
2,0.7033001184463501,0.7122374176979065,0.7616279125213623,0.5785659551620483
3,0.7361456751823425,0.6127673387527466,0.7986918687820435,0.527961790561676
4,0.7529576420783997,0.5735562443733215,0.7932412624359131,0.4807939827442169
5,0.7736612558364868,0.5225480198860168,0.8063226938247681,0.4425082206726074
6,0.7685242891311646,0.5225827693939209,0.7954215407371521,0.44932064414024353
7,0.7868928909301758,0.49138662219047546,0.7943313717842102,0.457459419965744
8,0.798256516456604,0.4628151059150696,0.8306686282157898,0.40145036578178406
9,0.8029265403747559,0.4603686034679413,0.8662790656089783,0.3570650815963745
10,0.8172478079795837,0.42922893166542053,0.8542878031730652,0.35380297899246216
11,0.8069738745689392,0.4434658885002136,0.8651889562606812,0.342136412858963
12,0.8293898105621338,0.40902167558670044,0.870276153087616,0.32402050495147705
13,0.8315691351890564,0.4116787910461426,0.8455668687820435,0.3684304356575012
14,0.8297011256217957,0.4040319323539734,0.8313953280448914,0.3707570433616638
15,0.8340597748756409,0.3982403576374054,0.8691860437393188,0.31874027848243713
16,0.8332814574241638,0.4036707580089569,0.8622819781303406,0.32898715138435364
17,0.8202054500579834,0.42639783024787903,0.8691860437393188,0.3299763798713684
18,0.8359277844429016,0.4019804000854492,0.8888081312179565,0.2855440378189087
19,0.8391967415809631,0.3795546889305115,0.8848110437393188,0.29664313793182373
20,0.8454234004020691,0.37287983298301697,0.8659157156944275,0.32116103172302246
21,0.8567870259284973,0.34730374813079834,0.8837209343910217,0.30383655428886414
